Model,ticker,evtdate,cret,car,bhar,nrets
Fama-French Plus Momentum,MUSE,29DEC2003,0.2353779682,0.1265426813,0.1370683498,14
Fama-French Plus Momentum,PMACA,04NOV2003,-0.65267173,-0.69200573,-0.637906291,14
Fama-French Plus Momentum,CAO,24MAR2006,-0.142159797,-0.163075626,-0.155566155,14
Fama-French Plus Momentum,ADPI,13DEC2007,-0.501745587,0.0644744505,-0.508382225,14
Fama-French Plus Momentum,BRCM,13JUL2006,-0.17405405,-0.110615188,-0.104529099,14
Fama-French Plus Momentum,BRCM,26FEB2001,-0.483495147,-0.30713928,-0.208130702,14
Fama-French Plus Momentum,LVLT,18JUN2001,-0.320099296,-0.251712406,-0.249581379,14
Fama-French Plus Momentum,AXTI,27APR2004,-0.36969699,-0.275655491,-0.234443104,14
Fama-French Plus Momentum,PCLN,26SEP2000,-0.710666659,-0.727468033,-0.485944485,14
Fama-French Plus Momentum,CNX,18JUL2002,-0.30360822,-0.239414721,-0.260711227,14
Fama-French Plus Momentum,BRCD,16MAY2005,-0.064439133,-0.114925086,-0.123270511,14
Fama-French Plus Momentum,CNC,15JUL2002,-0.513368988,-0.295860424,-0.265034186,14
Fama-French Plus Momentum,JNPR,22MAY2006,0.0138804742,0.0602422114,0.0488356852,14
Fama-French Plus Momentum,MDRX,13FEB2008,-0.266490751,-0.256836328,-0.261369191,14
Fama-French Plus Momentum,LAB,15OCT2003,-0.204309067,-0.204966597,-0.193569094,14
Fama-French Plus Momentum,QSFT,03JUL2006,-0.089233041,-0.070560243,-0.072115767,14
Fama-French Plus Momentum,INAP,18MAR2008,-0.192245565,-0.217416299,-0.273599926,14
Fama-French Plus Momentum,MSO,24JUL2002,-0.29044464,-0.199551116,-0.184883224,14
Fama-French Plus Momentum,CHTR,17JUL2002,0.0227272636,0.2330498657,0.1328789668,14
Fama-French Plus Momentum,HTRN,25JUL2003,-0.403241138,-0.435729211,-0.373179605,14
Fama-French Plus Momentum,WSTM,14APR2005,-0.54846942,-0.568075906,-0.556023159,14
Fama-French Plus Momentum,MED,11FEB2002,-0.267605646,-0.314297274,-0.404708689,14
Fama-French Plus Momentum,ALTH,03MAY2004,-0.592957796,-0.682461353,-0.55660194,14
Fama-French Plus Momentum,ITMN,11JUN2003,-0.450110061,-0.485927854,-0.417478251,14
Fama-French Plus Momentum,UTSI,04SEP2007,0.254545456,0.2566087866,0.2584004996,14
Fama-French Plus Momentum,UTSI,11AUG2004,-0.088529975,-0.071055917,-0.080854348,14
Fama-French Plus Momentum,SONS,11FEB2004,-0.269028829,-0.398810528,-0.389596356,14
Fama-French Plus Momentum,SONS,16JAN2002,-0.278368749,-0.11818684,-0.10137093,14
Fama-French Plus Momentum,MRVL,03OCT2006,-0.110828689,-0.160212651,-0.163446941,14
Fama-French Plus Momentum,SPRT,01OCT2004,-0.355191214,-0.428375333,-0.434412352,14
Fama-French Plus Momentum,PMTR,03MAY2002,-0.654054058,-0.652596911,-0.694940116,14
Fama-French Plus Momentum,STEC,03NOV2009,-0.371456019,-0.441247717,-0.472772079,14
Fama-French Plus Momentum,BLUD,29AUG2005,-0.120610132,-0.22003627,-0.228299715,14
Fama-French Plus Momentum,TASR,06JAN2005,-0.454028409,-0.576401062,-0.563075203,14
Fama-French Plus Momentum,BEL,22JUL2004,-0.542056058,-0.738483002,-0.55429588,14
Fama-French Plus Momentum,AGP,28SEP2005,-0.473621834,-0.478469511,-0.435857776,14
Fama-French Plus Momentum,LAVA,12APR2005,-0.433364378,-0.366885993,-0.36504646,14
Fama-French Plus Momentum,EPAX,23OCT2007,-0.571603401,-0.73188504,-0.607332289,14
