,tic,Class_end,settledate,year,Month,gap,sic,lgap,settleamt,CIK,filedate,Form,diff
44,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-10-03,8-K,28 days 00:00:00.000000000
45,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-09-27,8-K,34 days 00:00:00.000000000
46,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-07-28,8-K,95 days 00:00:00.000000000
47,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-07-28,8-K,95 days 00:00:00.000000000
48,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-07-11,8-K,112 days 00:00:00.000000000
49,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-06-06,8-K,147 days 00:00:00.000000000
50,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-07-01,8-K,122 days 00:00:00.000000000
51,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-06-20,8-K,133 days 00:00:00.000000000
52,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-04-28,8-K,186 days 00:00:00.000000000
53,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-05-02,8-K,182 days 00:00:00.000000000
54,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-04-29,8-K,185 days 00:00:00.000000000
55,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-04-28,8-K,186 days 00:00:00.000000000
56,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-03-01,8-K,244 days 00:00:00.000000000
57,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-03-01,10-K,244 days 00:00:00.000000000
58,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-02-14,8-K,259 days 00:00:00.000000000
59,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-07-27,8-K,96 days 00:00:00.000000000
60,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-04-25,8-K,189 days 00:00:00.000000000
61,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-12-16,8-K,-46 days +00:00:00.000000000
62,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-11-04,8-K,-4 days +00:00:00.000000000
63,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-10-31,8-K,0 days 00:00:00.000000000
64,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-10-19,8-K,12 days 00:00:00.000000000
65,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-10-17,8-K,14 days 00:00:00.000000000
66,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-10-03,8-K,28 days 00:00:00.000000000
67,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-09-27,8-K,34 days 00:00:00.000000000
68,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-07-28,8-K,95 days 00:00:00.000000000
69,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-07-28,8-K,95 days 00:00:00.000000000
70,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-07-11,8-K,112 days 00:00:00.000000000
71,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-06-06,8-K,147 days 00:00:00.000000000
72,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-07-01,8-K,122 days 00:00:00.000000000
73,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-06-20,8-K,133 days 00:00:00.000000000
74,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-04-28,8-K,186 days 00:00:00.000000000
75,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-05-02,8-K,182 days 00:00:00.000000000
76,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-04-29,8-K,185 days 00:00:00.000000000
77,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-04-28,8-K,186 days 00:00:00.000000000
78,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-03-01,8-K,244 days 00:00:00.000000000
79,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-03-01,10-K,244 days 00:00:00.000000000
80,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-02-14,8-K,259 days 00:00:00.000000000
81,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-07-27,8-K,96 days 00:00:00.000000000
82,ACUR,22/04/2010,2011-10-31,2011,10,557,2834,6.322565099999999,0,786947.0,2011-04-25,8-K,189 days 00:00:00.000000000
83,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-05-10,8-K,-103 days +00:00:00.000000000
84,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-08-26,8-K,-211 days +00:00:00.000000000
85,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-04-07,8-K,-70 days +00:00:00.000000000
86,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-02-08,8-K,-12 days +00:00:00.000000000
87,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-05-02,8-K,-95 days +00:00:00.000000000
88,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-01-06,8-K,21 days 00:00:00.000000000
89,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-03-16,8-K,-48 days +00:00:00.000000000
90,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-09-23,8-K,-239 days +00:00:00.000000000
91,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-05-12,8-K,-105 days +00:00:00.000000000
92,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-04-12,8-K,-75 days +00:00:00.000000000
93,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-09-08,8-K,-224 days +00:00:00.000000000
94,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-11-28,8-K,-305 days +00:00:00.000000000
95,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-12-23,8-K,-330 days +00:00:00.000000000
96,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-10-13,10-K,-259 days +00:00:00.000000000
97,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-11-10,8-K,-287 days +00:00:00.000000000
98,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-10-13,8-K,-259 days +00:00:00.000000000
99,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-09-30,8-K,-246 days +00:00:00.000000000
100,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-10-13,8-K,-259 days +00:00:00.000000000
101,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-02-10,8-K,-14 days +00:00:00.000000000
102,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-03-15,8-K,-47 days +00:00:00.000000000
103,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-05-10,8-K,-103 days +00:00:00.000000000
104,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-08-26,8-K,-211 days +00:00:00.000000000
105,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-04-07,8-K,-70 days +00:00:00.000000000
