rdate,cusip,stkname,tic,exchcd,stkcd,stkcdesc,prc,shrout,Top5InstOwn,Top10InstOwn,NumInstBlockOwners,InstBlockOwn,NumInstOwners,MaxInstOwn,InstOwn,InstOwn_HHI,InstOwn_Perc
3/31/2004,11132010,BROADCOM CORP,BRCM,V,0,CMA,39.01,248361,67456168,92655554,1,32028435,334,32028435,177700198,0.050601796,0.715491555
3/31/2004,11162110,BROCADE COMMUNICATIONS SYS I,BRCD,V,0,COM,6.64,259397,66243945,88705586,1,31491470,178,31491470,144866759,0.070878444,0.558475075
3/31/2004,11434010,BROOKS AUTOMATION INC,BRKS,V,0,COM,21.04,44538,13683257,18937217,2,7872386,144,4245196,38682226,0.037206908,0.868521847
3/31/2004,12550910,CIGNA CORP,CI,A,0,COM,59.02,141017,35544452,52080796,3,25814851,360,10270000,115976856,0.029158392,0.822431735
3/31/2004,12558110,CIT GROUP INC,CIT,A,0,COM,38.05,211850,73226940,103610143,3,54238086,283,27293950,203650148,0.039896445,0.961294067
3/31/2004,12589610,CMS ENERGY CORP,CMS,A,0,COM,8.95,161148,39556194,61209745,1,14997419,186,14997419,109848434,0.043987621,0.681661789
3/31/2004,12596510,CSK AUTO CORP,CAO,A,0,COM,18.11,46459,17638643,24429177,4,15560643,135,6846700,41743304,0.053893913,0.898497686
3/31/2004,12665010,CVS CORP,CVS,A,0,COM,35.3,396916,113201125,151766455,1,53347919,529,53347919,323997622,0.042162591,0.816287633
3/31/2004,12666710,CV THERAPEUTICS INC,CVTX,V,0,COM,15.13,31480,10818728,14556533,3,8587713,104,3776933,21978985,0.069066542,0.69818885
3/31/2004,12683020,CABLE & WIRELESS PUB LTD CO,CWP,A,+,AR,7.12,2384871,5258784,7214532,0,,44,1612425,8318079,0.105551386,0.003487853
3/31/2004,13201110,CAMBREX CORP,CBM,A,0,COM,26.9,28708,9150254,13545491,3,6597423,118,2600000,21809387,0.052262278,0.759697192
3/31/2004,13690710,CANDELA CORP,CLZR,V,0,COM,13.75,22174,5217307,7580072,2,2457061,83,1230936,13312756,0.043855061,0.600376838
3/31/2004,14166510,CAREER EDUCATION CORP,CECO,V,0,COM,56.55,100312,35231411,47047895,4,32525711,257,9564837,97109569,0.036129556,0.968075295
3/31/2004,14622910,CARTER INC,CRI,A,0,COM,28.59,27985,2969488,4662587,0,,58,797775,7441640,0.05223191,0.265915312
3/31/2004,15093410,CELL THERAPEUTICS INC,CTIC,V,0,COM,8.46,50306,10016499,15480052,2,5523726,97,3000000,24713059,0.051845374,0.491254701
3/31/2004,15135B10,CENTENE CORP DEL,CNC,V,0,COM,30.59,20250,7024951,10275877,2,4280040,114,2423090,19941865,0.041870433,0.984783457
3/31/2004,15708510,CERUS CORP,CERS,V,0,COM,3.41,22105,8975910,10162025,3,7838000,45,3247758,11386054,0.171864482,0.515089527
3/31/2004,16117M10,CHARTER COMMUNICATIONS INC D,CHTR,V,0,CMA,4.72,295137,77021242,91480131,2,51937187,134,32699600,120936460,0.118956155,0.409763805
3/31/2004,16725010,CHICAGO BRIDGE & IRON CO N V,CBI,A,+,RG,27.83,47055,12998608,17213381,2,9663590,136,5559080,39908341,0.04039318,0.848121156
3/31/2004,16890510,CHILDRENS PL RETAIL STORES I,PLCE,V,0,COM,30.97,26714,4643828,7228726,1,1492800,130,1492800,16500258,0.029474535,0.617663323
3/31/2004,17163B10,CIBER INC,CBR,A,0,COM,11,65165,14883398,24153376,1,4094300,131,4094300,49464095,0.033128249,0.759059234
3/31/2004,17275R10,CISCO SYS INC,CSCO,V,0,COM,23.57,6872760,895364149,1369037038,0,,1126,250267548,3954950198,0.018414047,0.575452976
3/31/2004,17296710,CITIGROUP INC,C,A,0,COM,51.7,5157000,986470184,1362407372,0,,1257,252226654,3338158765,0.0242358,0.647306334
3/31/2004,19121610,COCA COLA CO,KO,A,0,COM,50.3,2445264,528967536,718527228,1,200000000,976,200000000,1388987098,0.042582527,0.568031549
3/31/2004,20034010,COMERICA INC,CMA,A,0,COM,54.32,174462,35497521,51641568,1,14845000,343,14845000,106861762,0.037979711,0.612521707
3/31/2004,20854P10,CONSOL ENERGY INC,CNX,A,0,COM,26.8,89961,24663428,32886762,3,18781028,172,8400000,64260733,0.042208553,0.714317682
3/31/2004,21664840,COOPER COS INC,COO,A,0,COM,54,32398,10335206,13869493,2,6502799,187,4041521,31253642,0.035429007,0.964678128
3/31/2004,21914110,CORNELL COMPANIES INC,CRN,A,0,COM,11.57,13198,5722500,8616255,7,7211102,57,1508600,11732971,0.066681811,0.888996136
