Settle_date,Class_end,tic,News_ST,News_CE,News_Winner_ST,News_Winner_CE,confounding
7/9/2010,4/9/2008,SPNC,1,10,0,0,0
26/05/2006,6/1/2004,STAA,1,10,0,0,0
5/10/2006,29/01/2002,WMB,1,10,0,0,0
18/12/2009,27/09/2002,FLS,1,9,0,0,0
20/09/2006,3/2/2004,NDN,1,9,0,0,0
26/08/2005,5/3/2002,CRN,1,8,0,0,0
24/05/2007,27/04/2004,AXTI,1,7,0,0,0
9/11/2007,10/3/2006,GCT,1,7,0,0,0
21/07/2010,16/10/2007,TTI,1,7,0,0,0
30/12/2014,13/10/2011,OVTI,1,6,0,0,0
25/01/2012,29/10/2007,RGR,1,4,0,0,0
7/1/2010,14/11/2005,ARTX,1,2,0,0,0
18/03/2010,14/03/2000,CRA,1,1,0,0,0
3/4/2009,22/02/2008,BKR,1,0,0,0,0
5/4/2011,19/06/2001,TLAB,0,35,0,1,0
7/4/2008,21/10/2003,LF,0,28,0,1,0
11/1/2008,22/05/2006,KLAC,0,26,0,1,0
21/02/2008,3/5/2004,ALTH,0,22,0,1,0
9/9/2005,30/03/2003,REGN,0,22,0,1,0
21/12/2007,11/2/2004,SONS,0,22,0,1,0
19/01/2011,31/07/2009,HURN,0,21,0,1,0
24/06/2005,30/10/2002,OMG,0,21,0,1,0
22/11/2006,8/6/2004,OVTI,0,21,0,1,0
14/08/2007,4/11/2003,PMACA,0,20,0,1,0
28/10/2008,26/09/2006,WCRX,0,19,0,1,0
15/12/2009,13/12/2007,ADPI,0,18,0,1,0
14/05/2007,29/08/2005,BLUD,0,18,0,1,0
22/09/2008,15/10/2003,LAB,0,18,0,1,0
27/11/2006,16/05/2005,WG,0,18,0,1,0
29/07/2010,21/11/2005,COO,0,17,0,1,0
18/10/2006,18/12/2003,DYII,0,17,0,1,0
28/06/2007,4/2/2003,TE,0,17,0,1,0
27/07/2009,8/8/2007,HLYS,0,15,0,1,0
9/2/2010,7/6/2006,JOSB,0,14,0,1,0
30/04/2007,12/9/2002,ESST,0,13,0,1,0
7/11/2006,14/02/2005,MOLX,0,13,0,1,0
4/3/2008,27/06/2006,RMBS,0,13,0,1,0
6/5/2005,16/04/2004,ABIX,0,12,0,1,0
9/8/2005,17/03/2003,AIM,0,12,0,1,0
19/03/2014,14/09/2011,CISG,0,12,0,1,0
27/07/2011,19/11/2007,GA,0,12,0,1,0
15/10/2007,29/08/2006,MEAD,0,12,0,1,0
27/07/2007,16/04/2006,NR,0,12,0,1,0
14/10/2010,16/11/2004,S,0,12,0,1,0
8/9/2006,3/9/2003,CERS,0,11,0,0,0
6/3/2012,21/12/2009,KOSS,0,11,0,0,0
5/11/2008,15/11/2005,XRM,0,11,0,0,0
23/12/2008,1/7/2004,AMKR,0,10,0,0,0
20/01/2009,11/1/2006,JAH,0,10,0,0,0
28/07/2009,28/07/2005,PBH,0,10,0,0,0
22/03/2005,1/3/2004,SCON,0,10,0,0,0
1/4/2008,22/02/2006,TNS,0,10,0,0,0
5/8/2010,2/4/2007,ALLT,0,9,0,0,0
18/03/2014,1/9/2010,CGA,0,9,0,0,0
9/8/2010,8/4/2008,GRO,0,9,0,0,0
16/01/2009,6/9/2007,JADE,0,9,0,0,0
17/05/2005,7/11/2003,PSMT,0,9,0,0,0
9/5/2007,17/11/2000,PLMD,0,8,0,0,0
2/10/2006,18/12/2003,WAVX,0,8,0,0,0
24/09/2012,11/11/2009,NWPX,0,7,0,0,0
6/10/2009,13/02/2008,OPXT,0,7,0,0,0
20/12/2007,25/07/2003,CBM,0,6,0,0,0
16/09/2010,16/10/2007,FFHL,0,6,0,0,0
25/01/2007,12/12/2003,IBIS,0,5,0,0,0
24/07/2007,25/08/2005,FBP,0,4,0,0,0
17/08/2007,12/5/2005,GRVY,0,4,0,0,0
8/2/2011,19/11/2007,NED,0,4,0,0,0
17/09/2010,6/2/2008,OESX,0,4,0,0,0
4/10/2012,22/07/2010,ONP,0,4,0,0,0
3/9/2009,5/5/2005,SRT,0,4,0,0,0
6/10/2006,9/6/2004,WEDC,0,4,0,0,0
2/8/2006,19/04/2004,LSCC,0,3,0,0,0
15/02/2007,20/03/2001,REDF,0,3,0,0,0
29/07/2013,1/4/2011,SPU,0,3,0,0,0
7/3/2008,4/5/2004,ZIXI,0,3,0,0,0
27/01/2011,27/05/2005,ADAT,0,2,0,0,0
14/04/2008,14/11/2002,TTIL,0,2,0,0,0
28/02/2013,8/3/2006,IKAN,0,1,0,0,0
1/7/2008,16/03/2006,MRGE,0,1,0,0,0
21/03/2011,26/03/2010,ADUS,0,0,0,0,0
20/07/2005,22/04/1999,ATX,0,0,0,0,0
16/11/2005,22/07/2004,BEL,0,0,0,0,0
24/10/2008,15/05/2005,BRCD,0,0,0,0,0
2/3/2007,4/4/2002,CHKP,0,0,0,0,0
18/10/2010,15/07/2002,CNC,0,0,0,0,0
14/02/2012,8/2/2010,CTIC,0,0,0,0,0
6/6/2005,27/06/2001,CVS,0,0,0,0,0
13/05/2005,6/12/2002,CWP,0,0,0,0,0
19/11/2012,14/10/2008,ES,0,0,0,0,0
6/2/2009,30/07/2007,HIMX,0,0,0,0,0
11/9/2009,13/08/2007,HOV,0,0,0,0,0
30/12/2014,18/04/2012,HUSA,0,0,0,0,0
30/11/2011,20/08/2010,IDI,0,0,0,0,0
1/6/2009,8/4/2002,IIH,0,0,0,0,0
5/8/2013,18/03/2008,INAP,0,0,0,0,0
25/09/2009,9/4/2007,IRF,0,0,0,0,0
24/03/2010,9/11/2007,LEAP,0,0,0,0,0
16/03/2012,13/02/2008,MDRX,0,0,0,0,0
20/07/2012,17/11/2008,MDT,0,0,0,0,0
21/09/2011,24/09/2008,MRX,0,0,0,0,0
16/03/2007,24/07/2002,MSO,0,0,0,0,0
3/5/2007,26/09/2000,PCLN,0,0,0,0,0
17/07/2009,23/08/2007,PLCE,0,0,0,0,0
8/2/2005,29/03/2000,PRGX,0,0,0,0,0
2/2/2010,12/3/2007,SHFL,0,0,0,0,0
27/06/2007,1/10/2004,SPRT,0,0,0,0,0
24/08/2005,1/4/2002,STEL,0,0,0,0,0
21/08/2007,9/11/2004,STKR,0,0,0,0,0
27/06/2007,1/2/2002,TYC,0,0,0,0,0
7/8/2007,28/05/2003,TYC,0,0,0,0,0
13/01/2010,11/8/2004,UTSI,0,0,0,0,0
14/05/2009,4/9/2007,UTSI,0,0,0,0,0
18/02/2005,16/01/2003,VRTS,0,0,0,0,0
13/03/2008,14/04/2005,WSTM,0,0,0,0,0
