tic,Class_end,settledate,year,Month,gap,sic,lgap,settleamt,tic
PLL,2/8/2007,4/26/2012,2012,4,1729,3569,7.4552984,0,PLL
PLMD,17/11/2000,5/9/2007,2007,5,2364,3840,7.7681103,5.5,PLMD
PMACA,4/11/2003,8/14/2007,2007,8,1379,6330,7.2291141,0,PMACA
PMTR,3/5/2002,3/17/2005,2005,3,1049,3672,6.9555926,12,PMTR
PNRA,26/07/2006,2/11/2011,2011,2,1661,5810,7.415175,5.75,PNRA
PPC,24/09/2008,11/14/2011,2011,11,1146,2015,7.0440331,0,PPC
PRGX,29/03/2000,2/8/2005,2005,2,1777,8720,7.4826818,6.75,PRGX
PRST,29/09/2006,3/11/2009,2009,3,894,2750,6.7957058,0,PRST
PSMT,7/11/2003,5/17/2005,2005,5,557,5900,6.3225651,2.35,PSMT
PSSI,8/5/1998,10/19/2005,2005,10,2721,5040,7.9087548,16.5,PSSI
QLTY,2/2/2004,7/1/2005,2005,7,515,4213,6.2441669,8.15,QLTY
QSFT,3/7/2006,11/19/2009,2009,11,1235,7370,7.1188264,0.50963,QSFT
RAS,31/07/2007,7/15/2009,2009,7,715,6798,6.5722823,0,RAS
RCII,8/10/2001,10/30/2007,2007,10,2213,7350,7.7021046,0,RCII
REGN,30/03/2003,9/9/2005,2005,9,894,2830,6.7957058,0,REGN
RGR,29/10/2007,1/25/2012,2012,1,1549,3484,7.345365,0,RGR
RMBS,27/06/2006,3/4/2008,2008,3,616,3670,6.4232469,0,RMBS
RNR,25/07/2005,4/13/2007,2007,4,627,6331,6.4409466,0,RNR
RRGB,11/8/2005,5/24/2007,2007,5,651,5812,6.4785094,1.5,RRGB
RTK,15/12/2009,3/23/2011,2011,3,463,1321,6.1377273,0,RTK
RYL,7/1/2004,3/15/2007,2007,3,1163,1531,7.0587583,1.2,RYL
S,17/10/2002,9/14/2006,2006,9,1428,4813,7.26403,0,S
S,16/11/2004,10/14/2010,2010,10,2158,4813,7.6769371,0,S
SCON,1/3/2004,3/22/2005,2005,3,386,3670,5.9558372,4,SCON
SGY,6/10/2005,1/11/2010,2010,1,1558,1311,7.3511581,10.5,SGY
SHFL,12/3/2007,2/2/2010,2010,2,1058,3999,6.9641356,0,SHFL
SHOR,7/1/2008,6/4/2010,2010,6,879,3661,6.7787848,0,SHOR
SLR,26/09/2002,11/28/2005,2005,11,1159,3672,7.0553126,0,SLR
SMTC,19/07/2006,3/10/2011,2011,3,1695,3670,7.4354382,0,SMTC
SNIC,17/05/2007,10/12/2009,2009,10,879,7373,6.7787848,0,SNIC
SNV,21/01/2009,3/17/2014,2014,3,1881,6021,7.5395589,0,SNV
SONS,16/01/2002,1/14/2009,2009,1,2555,3661,7.8458076,0.769586,SONS
SONS,11/2/2004,12/21/2007,2007,12,1409,3661,7.2506356,0,SONS
SPNC,4/9/2008,9/7/2010,2010,9,733,3840,6.5971456,0,SPNC
SPRT,1/10/2004,6/27/2007,2007,6,999,7389,6.906755,0,SPRT
SPU,1/4/2011,7/29/2013,2013,7,850,7389,6.7452364,0,SPU
SRT,5/5/2005,9/3/2009,2009,9,1582,8742,7.3664451,7.5,SRT
SRZ,15/06/2006,2/27/2009,2009,2,988,8361,6.8956828,0,SRZ
STAA,6/1/2004,5/26/2006,2006,5,871,3840,6.7696419,3.7,STAA
STEC,3/11/2009,10/5/2012,2012,10,1067,3572,6.9726062,0,STEC
STEL,1/4/2002,8/24/2005,2005,8,1241,7373,7.123673,12,STEL
STKR,9/11/2004,8/21/2007,2007,8,1015,3827,6.9226437,3.4,STKR
STT,19/10/2009,7/21/2014,2014,7,1736,6022,7.4593387,0,STT
SWC,1/4/2002,5/2/2007,2007,5,1857,1099,7.5267177,2.55,SWC
T,22/08/2002,3/2/2006,2006,3,1288,4813,7.1608458,0,T
TAP,27/04/2005,11/7/2008,2008,11,1290,2082,7.1623974,0,TAP
TASR,6/1/2005,10/11/2006,2006,10,643,3480,6.4661446,0,TASR
TE,4/2/2003,6/28/2007,2007,6,1605,4911,7.3808789,17.35,TE
THLD,14/07/2006,10/30/2009,2009,10,1204,2834,7.0934048,0,THLD
THOR,29/06/2004,8/23/2006,2006,8,785,3845,6.6656837,3.375,THOR
TLAB,19/06/2001,4/5/2011,2011,4,3577,3661,8.0385122,7.375,TLAB
TNS,22/02/2006,4/1/2008,2008,4,769,7389,6.6450911,3.6,TNS
TOL,8/11/2005,10/28/2010,2010,10,1815,1531,7.5038409,0,TOL
TTI,16/10/2007,7/21/2010,2010,7,1009,2819,6.9167151,0,TTI
TXT,26/09/2001,2/21/2006,2006,2,1609,3728,7.383368,7,TXT
TYC,1/2/2002,6/27/2007,2007,6,1972,3679,7.5868034,0,TYC
TYC,28/05/2003,8/7/2007,2007,8,1532,3679,7.3343291,0,TYC
UHAL,26/09/2002,7/24/2006,2006,7,1397,6710,7.2420826,7,UHAL
UNH,7/4/2006,9/22/2008,2008,9,899,6324,6.8012829,0,UNH
UNM,4/2/2003,7/30/2007,2007,7,1637,6321,7.4006205,0,UNM
URI,30/08/2004,1/28/2009,2009,1,1612,7359,7.385231,27.5,URI
UTSI,11/8/2004,1/13/2010,2010,1,1981,3660,7.5913572,0,UTSI
UTSI,4/9/2007,5/14/2009,2009,5,618,3660,6.4264884,2.79174,UTSI
VECO,10/2/2005,8/16/2007,2007,8,917,3559,6.8211074,5.5,VECO
VG,31/05/2006,8/17/2009,2009,8,1174,4813,7.068172,0,VG
VRTS,16/01/2003,2/18/2005,2005,2,764,7370,6.6385679,35,VRTS
WCRX,26/09/2006,10/28/2008,2008,10,763,2834,6.6372581,0,WCRX
WEDC,9/6/2004,10/6/2006,2006,10,849,3674,6.7440591,0,WEDC
WFT,1/3/2011,1/29/2014,2014,1,1065,1381,6.9707303,0,WFT
WM,28/06/2004,10/5/2011,2011,10,2655,4953,7.8842001,0,WM
WM,31/10/2007,6/30/2011,2011,6,1338,4953,7.1989312,0,WM
WMB,29/01/2002,10/5/2006,2006,10,1710,4922,7.4442487,0,WMB
WR,26/12/2002,5/31/2005,2005,5,887,4931,6.7878451,30,WR
WSTM,14/04/2005,3/13/2008,2008,3,1064,7361,6.9697905,3.9,WSTM
XEL,26/07/2002,1/14/2005,2005,1,903,4931,6.8057227,80,XEL
XRM,15/11/2005,11/5/2008,2008,11,1086,2221,6.9902563,0,XRM
XRX,27/07/2000,3/27/2008,2008,3,2800,3577,7.9373746,0,XRX
ZIXI,4/5/2004,3/7/2008,2008,3,1403,3670,7.2463679,5.6,ZIXI
ZLC,5/5/2006,2/29/2008,2008,2,665,5944,6.4997869,0,ZLC
ZOMX,21/09/2000,4/25/2005,2005,4,1677,3650,7.4247618,5.82,ZOMX
