Model,tic,classend,cret_ce,car_ce,bhar_ce,nrets
Fama-French Plus Momentum,ZLC,5-May-06,-0.101771782,0.019677006,0.017847262,15
Fama-French Plus Momentum,OMG,30-Oct-02,-0.828527128,-1.049357826,-0.696756273,15
Fama-French Plus Momentum,MATK,27-Apr-05,-0.267508236,-0.267610956,-0.402561523,15
Fama-French Plus Momentum,VRTS,16-Jan-03,0.040111118,0.1303677,0.120210689,15
Fama-French Plus Momentum,BZH,27-Mar-07,-0.126563021,-0.080100687,-0.078469649,15
Fama-French Plus Momentum,ARTX,14-Nov-05,-0.327586224,-0.10283154,-0.11321278,15
Fama-French Plus Momentum,SNIC,17-May-07,-0.073909833,-0.01055082,-0.016310859,15
Fama-French Plus Momentum,CBR,3-Aug-11,-0.39047618,-0.406730131,-0.352243988,15
Fama-French Plus Momentum,IBIS,12-Dec-03,-0.345772566,-0.555354419,-0.518940695,15
Fama-French Plus Momentum,JOSB,7-Jun-06,-0.319292357,-0.242327133,-0.235196145,15
Fama-French Plus Momentum,NPSP,2-May-06,-0.410514528,-0.320657146,-0.313948908,15
Fama-French Plus Momentum,PSSI,8-May-98,-0.415730335,-0.493939782,-0.417655877,15
Fama-French Plus Momentum,MCK,27-Apr-99,-0.429126213,-0.761612265,-0.87799116,15
Fama-French Plus Momentum,UHAL,26-Sep-02,-0.183453239,-0.289105489,-0.275246807,15
Fama-French Plus Momentum,VECO,10-Feb-05,-0.140651803,-0.052630463,-0.052549768,15
Fama-French Plus Momentum,SWC,1-Apr-02,-0.082295543,-0.193580372,-0.213024398,15
Fama-French Plus Momentum,RCII,8-Oct-01,-0.074646588,-0.074585638,-0.10190212,15
Fama-French Plus Momentum,BRKS,22-May-06,-0.151123169,-0.136493368,-0.124647595,15
Fama-French Plus Momentum,HLIT,26-Jun-00,-0.413290119,-0.40870306,-0.433057867,15
Fama-French Plus Momentum,ADEX,13-Jun-06,0.001548443,0.121158862,0.11991665,15
Fama-French Plus Momentum,ESST,12-Sep-02,-0.43347279,-0.263468573,-0.224056902,15
Fama-French Plus Momentum,NWPX,11-Nov-09,-0.132225894,-0.177041836,-0.180358246,15
Fama-French Plus Momentum,HIG,13-Oct-04,-0.127615771,-0.120926115,-0.115774928,15
Fama-French Plus Momentum,STKR,9-Nov-04,-0.056000039,-0.137071804,-0.155259872,15
Fama-French Plus Momentum,ARTC,23-Jan-08,-0.203486033,0.066228816,0.046929946,15
Fama-French Plus Momentum,PRGX,29-Mar-00,-0.316037726,0.340151876,0.183175681,15
Fama-French Plus Momentum,KVHI,2-Jul-04,-0.377622406,-0.474596248,-0.402680331,15
Fama-French Plus Momentum,NDN,3-Feb-04,-0.009269562,-0.250735625,-0.280440915,15
Fama-French Plus Momentum,JAKK,19-Oct-04,-0.340899539,-0.361611437,-0.381198603,15
Fama-French Plus Momentum,SRZ,15-Jun-06,-0.16292473,-0.051886957,-0.047982142,15
Fama-French Plus Momentum,ZOMX,21-Sep-00,-0.671617153,-0.454744318,-0.314624283,15
Fama-French Plus Momentum,ADRX,4-Mar-03,-0.267366753,0.008177832,-0.04520801,15
Fama-French Plus Momentum,RNR,25-Jul-05,-0.02839457,-0.017989452,-0.022699662,15
Fama-French Plus Momentum,HEB,30-Oct-09,-0.33701653,-0.437871383,-0.371909758,15
Fama-French Plus Momentum,ANF,13-Oct-99,-0.347663549,-0.44522588,-0.405088275,15
Fama-French Plus Momentum,ANF,16-Aug-05,-0.10433186,-0.131018696,-0.127752809,15
Fama-French Plus Momentum,CRN,5-Mar-02,-0.200639509,-0.469112106,-0.4742892,15
Fama-French Plus Momentum,CERS,3-Sep-03,-0.279785767,-0.308917765,-0.321459142,15
Fama-French Plus Momentum,CTIC,8-Feb-10,-0.345794448,-0.277784256,-0.32292177,15
Fama-French Plus Momentum,CBI,3-Feb-06,-0.187322914,0.030893019,-0.002662985,15
Fama-French Plus Momentum,MEAD,29-Aug-06,-0.026666642,-0.155809975,-0.162640266,15
Fama-French Plus Momentum,AMZN,30-Oct-00,0.348258721,0.097748065,0.083722898,15
Fama-French Plus Momentum,RMBS,27-Jun-06,0.033224783,0.004673373,0.025119399,15
Fama-French Plus Momentum,SRT,5-May-05,-0.171556817,-0.17967425,-0.183170621,15
Fama-French Plus Momentum,FARO,3-Nov-05,-0.026342474,0.157870207,0.111087236,15
Fama-French Plus Momentum,PLCE,23-Aug-07,-0.085254214,0.105168095,0.078788299,15
Fama-French Plus Momentum,PSMT,7-Nov-03,-0.100250317,-0.204574985,-0.221289909,15
Fama-French Plus Momentum,AMCC,5-Feb-01,-0.45911047,-0.522977729,-0.397246399,15
Fama-French Plus Momentum,URI,30-Aug-04,-0.240321756,-0.321943082,-0.32190435,15
Fama-French Plus Momentum,CVTX,1-Aug-03,-0.309123105,-0.254439127,-0.231936325,15
Fama-French Plus Momentum,CECO,1-Nov-11,-0.517504781,-0.506650808,-0.463232692,15
Fama-French Plus Momentum,CECO,2-Dec-03,-0.183528937,-0.152469529,-0.189724586,15
Fama-French Plus Momentum,RAS,31-Jul-07,-0.573383676,-0.065447399,-0.207019673,15
Fama-French Plus Momentum,BXS,25-Feb-10,-0.10766426,-0.100547763,-0.106368385,15
Fama-French Plus Momentum,GNSS,14-Jun-02,-0.458831374,-0.695334109,-0.588055069,15
Fama-French Plus Momentum,MUSE,29-Dec-03,0.146514959,0.103661916,0.103944905,15
Fama-French Plus Momentum,PMACA,4-Nov-03,-0.613333323,-0.762259031,-0.787105414,15
Fama-French Plus Momentum,CAO,24-Mar-06,-0.152053932,-0.141839122,-0.133572811,15
Fama-French Plus Momentum,ADPI,13-Dec-07,-0.710379735,-0.655147161,-0.660099386,15
Fama-French Plus Momentum,BRCM,13-Jul-06,-0.241674907,-0.240260154,-0.214006345,15
Fama-French Plus Momentum,BRCM,26-Feb-01,-0.462885743,-0.215119997,-0.158336536,15
Fama-French Plus Momentum,LVLT,18-Jun-01,-0.513940535,-0.452926273,-0.334720089,15
Fama-French Plus Momentum,AXTI,27-Apr-04,-0.415384629,-0.293192579,-0.232735585,15
Fama-French Plus Momentum,PCLN,26-Sep-00,-0.784722219,-1.272326534,-0.773778349,15
Fama-French Plus Momentum,CNX,18-Jul-02,-0.364310429,-0.321188392,-0.310958785,15
Fama-French Plus Momentum,CRA,14-Mar-00,-0.495652175,-0.181792932,-0.048948234,15
Fama-French Plus Momentum,BRCD,16-May-05,-0.068235282,0.024637914,0.014763968,15
Fama-French Plus Momentum,CNC,15-Jul-02,-0.473372826,-0.454167245,-0.430181717,15
Fama-French Plus Momentum,JNPR,22-May-06,-0.012994436,0.069579584,0.057419427,15
Fama-French Plus Momentum,MDRX,13-Feb-08,-0.242637631,-0.078227853,-0.102252448,15
Fama-French Plus Momentum,LAB,15-Oct-03,-0.18953754,-0.080003359,-0.077254051,15
Fama-French Plus Momentum,QSFT,3-Jul-06,-0.07863498,0.180540634,0.151036829,15
Fama-French Plus Momentum,INAP,18-Mar-08,-0.258215985,-0.146758172,-0.190429621,15
Fama-French Plus Momentum,MSO,24-Jul-02,-0.21926601,0.05068649,0.023539388,15
Fama-French Plus Momentum,CRDS,26-Jul-00,-0.52173915,0.178465811,-0.109708185,15
Fama-French Plus Momentum,CHTR,17-Jul-02,-0.424836591,0.603524157,0.288554473,15
Fama-French Plus Momentum,HTRN,25-Jul-03,-0.362003768,-0.377859009,-0.346955169,15
Fama-French Plus Momentum,WSTM,14-Apr-05,-0.544776127,-0.341823951,-0.348447552,15
Fama-French Plus Momentum,MED,11-Feb-02,-0.418439715,-0.58401607,-0.445242576,15
Fama-French Plus Momentum,ALTH,3-May-04,-0.5470852,-0.32209151,-0.302468471,15
Fama-French Plus Momentum,ITMN,11-Jun-03,-0.386318701,-0.549055582,-0.533496102,15
Fama-French Plus Momentum,UTSI,4-Sep-07,-0.107744088,0.12025231,0.092446731,15
Fama-French Plus Momentum,UTSI,11-Aug-04,-0.096986329,-0.037404665,-0.047134667,15
Fama-French Plus Momentum,SONS,11-Feb-04,-0.361826709,-0.008847468,-0.001360866,15
Fama-French Plus Momentum,SONS,16-Jan-02,-0.043859604,0.557615558,0.407315892,15
Fama-French Plus Momentum,MRVL,3-Oct-06,-0.097876718,0.000681196,-0.007562327,15
Fama-French Plus Momentum,SPRT,1-Oct-04,-0.31813365,-0.431453297,-0.458926378,15
Fama-French Plus Momentum,PMTR,3-May-02,-0.682580634,-0.744956945,-0.733513904,15
Fama-French Plus Momentum,STEC,3-Nov-09,-0.42966238,-0.275565851,-0.279099287,15
Fama-French Plus Momentum,AET,7-Jun-01,0.102910193,0.191641996,0.192554298,15
Fama-French Plus Momentum,BLUD,29-Aug-05,-0.069256186,-0.105376032,-0.115883432,15
Fama-French Plus Momentum,ILA,3-Dec-01,-0.200508889,0.04089897,0.0296542,15
Fama-French Plus Momentum,TASR,6-Jan-05,-0.288440769,-0.119654812,-0.20082347,15
Fama-French Plus Momentum,BEL,22-Jul-04,-0.560669452,-0.695437056,-0.493580892,15
Fama-French Plus Momentum,AGP,28-Sep-05,-0.47971833,-0.505732335,-0.458003803,15
Fama-French Plus Momentum,LAVA,12-Apr-05,-0.503791072,-0.507411252,-0.445920256,15
Fama-French Plus Momentum,EPAX,23-Oct-07,-0.553451282,-0.606063748,-0.505805738,15
Fama-French Plus Momentum,RRGB,11-Aug-05,-0.21083235,-0.15806674,-0.170838676,15
Fama-French Plus Momentum,CIT,5-Mar-08,-0.384148824,-0.062334339,-0.060866524,15
Fama-French Plus Momentum,LF,21-Oct-03,-0.212910572,-0.247878242,-0.261924279,15
Fama-French Plus Momentum,IIH,8-Apr-02,-0.057731901,0.123091483,0.108472634,15
Fama-French Plus Momentum,ARB,26-Nov-07,-0.212497519,-0.191840679,-0.178060763,15
Fama-French Plus Momentum,CRI,24-Jul-07,-0.19771859,-0.078697925,-0.069144438,15
Fama-French Plus Momentum,QLTY,2-Feb-04,-0.220725366,-0.239506573,-0.227748889,15
Fama-French Plus Momentum,TNS,22-Feb-06,-0.159914711,-0.097832695,-0.110684323,15
Fama-French Plus Momentum,MGI,14-Jan-08,-0.652417673,-0.724688471,-0.541203528,15
Fama-French Plus Momentum,MNKD,19-Jan-11,-0.397971356,-0.494066153,-0.461267545,15
Fama-French Plus Momentum,GCT,10-Mar-06,-0.327316508,-0.351014478,-0.318246715,15
Fama-French Plus Momentum,HURN,31-Jul-09,-0.696784407,-0.627087348,-0.620592703,15
Fama-French Plus Momentum,ORA,24-Feb-10,-0.095890442,-0.197920054,-0.202236612,15
Fama-French Plus Momentum,PBH,28-Jul-05,-0.327160531,-0.425626355,-0.489999682,15
Fama-French Plus Momentum,THLD,14-Jul-06,-0.561959685,-0.620443589,-0.564597437,15
Fama-French Plus Momentum,NOVL,22-Apr-97,-0.230769232,-0.338979772,-0.336657186,15
Fama-French Plus Momentum,PAY,30-Nov-07,-0.461644127,-0.511819095,-0.526780791,15
Fama-French Plus Momentum,XRM,15-Nov-05,-0.222546174,-0.14141111,-0.166872222,15
Fama-French Plus Momentum,LEAP,9-Nov-07,-0.495147042,-0.435901594,-0.3608962,15
Fama-French Plus Momentum,ATRC,31-Oct-08,-0.48387096,-0.232367902,-0.254683949,15
Fama-French Plus Momentum,IKAN,8-Mar-06,-0.081379931,-0.306528147,-0.336863491,15
Fama-French Plus Momentum,CROX,31-Oct-07,-0.419457031,-0.478637574,-0.456120831,15
Fama-French Plus Momentum,GSAT,5-Feb-07,-0.274672167,-0.421192372,-0.4359782,15
Fama-French Plus Momentum,NLST,16-Apr-07,-0.43142858,-0.191767244,-0.157135981,15
Fama-French Plus Momentum,ORBC,14-Aug-07,-0.455223886,-0.405660787,-0.335560795,15
Fama-French Plus Momentum,HLYS,8-Aug-07,-0.591407675,-0.339261734,-0.272345795,15
Fama-French Plus Momentum,OPXT,13-Feb-08,-0.144736829,-0.463865334,-0.473424067,15
Fama-French Plus Momentum,BBND,28-Sep-07,-0.279199087,-0.319801922,-0.318802557,15
Fama-French Plus Momentum,LLNW,8-Aug-07,-0.540983599,0.597451237,0.304939778,15
Fama-French Plus Momentum,BX,10-Mar-08,-0.150000039,0.113587312,0.087996786,15
Fama-French Plus Momentum,SHOR,7-Jan-08,-0.650516788,-0.667413411,-0.541528354,15
Fama-French Plus Momentum,ES,14-Oct-08,-0.562303688,-0.254201229,-0.204359058,15
Fama-French Plus Momentum,OESX,6-Feb-08,-0.392142838,-0.096879904,-0.157837045,15
Fama-French Plus Momentum,LRN,16-Dec-11,-0.359725262,-0.079049245,-0.076445394,15
Fama-French Plus Momentum,UNH,7-Apr-06,-0.094141655,-0.022251361,-0.02280764,15
Fama-French Plus Momentum,CGA,1-Sep-10,-0.282264803,-0.472771453,-0.448451,15
Fama-French Plus Momentum,ADUS,26-Mar-10,-0.315173255,-0.219867136,-0.220518376,15
Fama-French Plus Momentum,ONP,22-Jul-10,-0.391416185,-0.827277031,-0.771913659,15
