CIK,FDATE,Form,tic
3673,20051206,8-K,AYE
3673,20060914,8-K,AYE
3673,20060307,8-K,AYE
3673,20041124,8-K,AYE
3673,20070928,8-K,AYE
3673,20041209,8-K,AYE
3673,20080227,10-K,AYE
3673,20081103,8-K,AYE
3673,20090211,8-K,AYE
3673,20050401,8-K,AYE
3673,20100301,10-K,AYE
3673,20061027,8-K,AYE
3673,20050106,8-K,AYE
3673,20090825,8-K,AYE
3673,20090929,8-K,AYE
3673,20060718,8-K,AYE
3673,20071213,8-K,AYE
3673,20061026,8-K,AYE
3673,20100607,8-K,AYE
3673,20050510,8-K,AYE
3673,20050721,8-K,AYE
3673,20050818,8-K,AYE
3673,20050414,8-K,AYE
3673,20100205,8-K,AYE
3673,20060508,8-K,AYE
3673,20100204,8-K,AYE
3673,20090526,8-K,AYE
3673,20061103,8-K,AYE
3673,20050310,10-K,AYE
3673,20041124,8-K,AYE
3673,20040520,8-K,AYE
3673,20100505,8-K,AYE
3673,20101215,8-K,AYE
3673,20100211,8-K,AYE
3673,20050426,8-K,AYE
3673,20060301,10-K,AYE
3673,20050531,8-K,AYE
3673,20090803,8-K,AYE
3673,20070905,8-K,AYE
3673,20060307,8-K,AYE
3673,20061024,8-K,AYE
3673,20071009,8-K,AYE
3673,20060531,8-K,AYE
3673,20070417,8-K,AYE
3673,20070524,8-K,AYE
3673,20060728,8-K,AYE
3673,20060719,8-K,AYE
3673,20090302,10-K,AYE
3673,20080501,8-K,AYE
3673,20050324,8-K,AYE
3673,20080228,8-K,AYE
3673,20060106,8-K,AYE
3673,20040224,8-K,AYE
3673,20070306,8-K,AYE
3673,20050923,8-K,AYE
3673,20060106,8-K,AYE
3673,20041006,8-K,AYE
3673,20091223,8-K,AYE
3673,20070727,8-K,AYE
3673,20070228,10-K,AYE
3673,20050729,8-K,AYE
3673,20041022,8-K,AYE
3673,20071212,8-K,AYE
3673,20060512,8-K,AYE
3673,20060621,8-K,AYE
3673,20090911,8-K,AYE
3673,20070427,8-K,AYE
3673,20040702,8-K,AYE
3673,20051107,8-K,AYE
3673,20090810,8-K,AYE
3673,20060210,8-K,AYE
3673,20060822,8-K,AYE
3673,20040625,8-K,AYE
3673,20061213,8-K,AYE
3673,20040311,8-K,AYE
3673,20050408,8-K,AYE
3673,20100524,8-K,AYE
3673,20090710,8-K,AYE
3673,20060427,8-K,AYE
3673,20040930,8-K,AYE
3673,20051028,8-K,AYE
3673,20050622,8-K,AYE
3673,20090922,8-K,AYE
3673,20090710,8-K,AYE
3673,20080812,8-K,AYE
3673,20100506,8-K,AYE
3673,20080731,8-K,AYE
3673,20090506,8-K,AYE
3673,20040311,10-K,AYE
3673,20070503,8-K,AYE
3673,20080716,8-K,AYE
3673,20050429,8-K,AYE
3673,20060908,8-K,AYE
3673,20070316,8-K,AYE
3673,20040209,8-K,AYE
3673,20101101,8-K,AYE
3673,20101027,8-K,AYE
3673,20040510,8-K,AYE
3673,20091016,8-K,AYE
3673,20041217,8-K,AYE
3673,20091209,8-K,AYE
3673,20110225,8-K,AYE
3673,20050524,8-K,AYE
3673,20040908,8-K,AYE
3673,20050930,8-K,AYE
3673,20040806,8-K,AYE
3673,20090804,8-K,AYE
3673,20090417,8-K,AYE
3673,20041206,8-K,AYE
3673,20070727,8-K,AYE
3673,20091223,8-K,AYE
3673,20050701,8-K,AYE
3673,20070917,8-K,AYE
3673,20070209,8-K,AYE
3673,20100609,8-K,AYE
3673,20031219,8-K,AYE
3673,20040806,8-K,AYE
3673,20070828,8-K,AYE
3673,20050218,8-K,AYE
3673,20081210,8-K,AYE
3673,20061006,8-K,AYE
3673,20110223,10-K,AYE
3673,20041105,8-K,AYE
3673,20101027,8-K,AYE
3673,20080520,8-K,AYE
3673,20080821,8-K,AYE
3673,20080722,8-K,AYE
3673,20040123,8-K,AYE
3673,20050727,8-K,AYE
3673,20080131,8-K,AYE
3673,20050107,8-K,AYE
3673,20081002,8-K,AYE
3673,20060525,8-K,AYE
3673,20090505,8-K,AYE
3673,20100128,8-K,AYE
3673,20091029,8-K,AYE
3673,20041008,8-K,AYE
3673,20091006,8-K,AYE
3673,20110223,8-K,AYE
3673,20091022,8-K,AYE
3673,20060815,8-K,AYE
3673,20100304,8-K,AYE
3673,20080208,8-K,AYE
3673,20090605,8-K,AYE
3673,20071025,8-K,AYE
3673,20100804,8-K,AYE
3673,20081229,8-K,AYE
3673,20100917,8-K,AYE
3673,20040702,8-K,AYE
3673,20100211,8-K,AYE
3673,20051206,8-K,AYE
3673,20060914,8-K,AYE
3673,20060307,8-K,AYE
3673,20041124,8-K,AYE
3673,20070928,8-K,AYE
3673,20041209,8-K,AYE
3673,20080227,10-K,AYE
3673,20081103,8-K,AYE
3673,20090211,8-K,AYE
3673,20050401,8-K,AYE
3673,20100301,10-K,AYE
3673,20061027,8-K,AYE
3673,20050106,8-K,AYE
3673,20090825,8-K,AYE
3673,20090929,8-K,AYE
3673,20060718,8-K,AYE
3673,20071213,8-K,AYE
3673,20061026,8-K,AYE
3673,20100607,8-K,AYE
3673,20050510,8-K,AYE
3673,20050721,8-K,AYE
3673,20050818,8-K,AYE
3673,20050414,8-K,AYE
3673,20100205,8-K,AYE
3673,20060508,8-K,AYE
3673,20100204,8-K,AYE
3673,20090526,8-K,AYE
3673,20061103,8-K,AYE
3673,20050310,10-K,AYE
3673,20041124,8-K,AYE
3673,20040520,8-K,AYE
3673,20100505,8-K,AYE
3673,20101215,8-K,AYE
3673,20100211,8-K,AYE
3673,20050426,8-K,AYE
3673,20060301,10-K,AYE
3673,20050531,8-K,AYE
3673,20090803,8-K,AYE
3673,20070905,8-K,AYE
3673,20060307,8-K,AYE
3673,20061024,8-K,AYE
3673,20071009,8-K,AYE
3673,20060531,8-K,AYE
3673,20070417,8-K,AYE
3673,20070524,8-K,AYE
3673,20060728,8-K,AYE
3673,20060719,8-K,AYE
3673,20090302,10-K,AYE
3673,20080501,8-K,AYE
3673,20050324,8-K,AYE
3673,20080228,8-K,AYE
3673,20060106,8-K,AYE
3673,20040224,8-K,AYE
3673,20070306,8-K,AYE
3673,20050923,8-K,AYE
3673,20060106,8-K,AYE
3673,20041006,8-K,AYE
3673,20091223,8-K,AYE
3673,20070727,8-K,AYE
3673,20070228,10-K,AYE
3673,20050729,8-K,AYE
3673,20041022,8-K,AYE
3673,20071212,8-K,AYE
3673,20060512,8-K,AYE
3673,20060621,8-K,AYE
3673,20090911,8-K,AYE
3673,20070427,8-K,AYE
3673,20040702,8-K,AYE
3673,20051107,8-K,AYE
3673,20090810,8-K,AYE
3673,20060210,8-K,AYE
3673,20060822,8-K,AYE
3673,20040625,8-K,AYE
3673,20061213,8-K,AYE
3673,20040311,8-K,AYE
3673,20050408,8-K,AYE
3673,20100524,8-K,AYE
3673,20090710,8-K,AYE
3673,20060427,8-K,AYE
3673,20040930,8-K,AYE
3673,20051028,8-K,AYE
3673,20050622,8-K,AYE
3673,20090922,8-K,AYE
3673,20090710,8-K,AYE
3673,20080812,8-K,AYE
3673,20100506,8-K,AYE
3673,20080731,8-K,AYE
3673,20090506,8-K,AYE
4457,20110720,8-K,UHAL
4457,20100827,8-K,UHAL
4457,20080812,8-K,UHAL
4457,20060712,8-K,UHAL
4457,20140422,8-K,UHAL
4457,20130607,10-K/A,UHAL
4457,20130905,8-K,UHAL
4457,20110225,8-K,UHAL
4457,20090604,10-K,UHAL
4457,20110304,8-K,UHAL
4457,20051117,8-K,UHAL
4457,20120612,8-K,UHAL
4457,20111031,8-K,UHAL
4457,20060613,10-K,UHAL
4457,20110829,8-K,UHAL
4457,20120326,8-K,UHAL
4457,20110222,8-K,UHAL
4457,20130530,8-K,UHAL
4457,20110203,8-K,UHAL
4457,20040505,8-K,UHAL
4457,20050706,8-K,UHAL
4457,20050714,8-K,UHAL
4457,20050622,10-K,UHAL
4457,20060619,8-K,UHAL
4457,20140528,10-K,UHAL
4457,20131126,8-K,UHAL
4457,20130903,8-K,UHAL
4457,20130115,8-K,UHAL
4457,20050216,8-K,UHAL
4457,20050513,8-K,UHAL
4457,20080212,8-K,UHAL
4457,20050308,8-K,UHAL
4457,20070613,8-K,UHAL
4457,20070405,8-K,UHAL
4457,20120118,8-K,UHAL
4457,20060823,8-K,UHAL
4457,20061222,8-K,UHAL
4457,20060913,8-K,UHAL
4457,20060816,8-K,UHAL
4457,20070309,8-K,UHAL
4457,20070607,10-K,UHAL
4457,20070905,8-K,UHAL
4457,20071205,8-K,UHAL
4457,20071206,8-K,UHAL
4457,20080213,8-K,UHAL
4457,20080311,8-K,UHAL
4457,20080604,10-K,UHAL
4457,20041206,8-K,UHAL
4457,20140415,8-K,UHAL
4457,20110623,8-K,UHAL
4457,20110609,10-K,UHAL
4457,20110407,8-K,UHAL
4457,20110928,8-K,UHAL
4457,20040326,8-K,UHAL
4457,20111213,8-K,UHAL
4457,20120821,8-K,UHAL
4457,20120202,8-K,UHAL
4457,20040618,10-K,UHAL
4457,20120214,8-K,UHAL
4457,20110301,8-K,UHAL
4457,20120606,10-K,UHAL
4457,20120515,8-K,UHAL
4457,20050706,8-K,UHAL
4457,20050622,8-K,UHAL
4457,20110817,8-K,UHAL
4457,20110322,8-K,UHAL
4457,20050215,8-K,UHAL
4457,20050302,8-K,UHAL
4457,20120904,8-K,UHAL
4457,20051116,8-K,UHAL
4457,20110422,8-K,UHAL
4457,20120904,8-K,UHAL
4457,20110401,8-K,UHAL
4457,20110322,8-K,UHAL
4457,20110302,8-K,UHAL
4457,20131004,8-K,UHAL
4457,20131206,8-K,UHAL
4457,20130605,10-K,UHAL
4457,20140121,8-K,UHAL
4457,20140902,8-K,UHAL
4457,20140926,8-K,UHAL
4457,20100910,8-K,UHAL
4457,20060215,8-K,UHAL
4457,20100609,10-K,UHAL
5272,20120305,8-K,AIG
5272,20120227,10-K/A,AIG
5272,20041014,8-K,AIG
5272,20060316,10-K/A,AIG
5272,20100930,8-K,AIG
5272,20050629,8-K,AIG
5272,20101105,8-K,AIG
5272,20101213,8-K,AIG
5272,20060213,8-K,AIG
5272,20110214,8-K,AIG
5272,20110309,8-K,AIG
5272,20051115,8-K,AIG
5272,20101022,8-K,AIG
5272,20101004,8-K,AIG
5272,20101116,8-K,AIG
5272,20101029,8-K,AIG
5272,20050428,8-K,AIG
5272,20121207,8-K,AIG
5272,20101206,8-K,AIG
5272,20051007,8-K,AIG
5272,20101105,8-K,AIG
5272,20090817,8-K,AIG
5272,20050308,8-K,AIG
5272,20101025,8-K,AIG
5272,20050502,8-K,AIG
5272,20050209,8-K,AIG
5272,20100528,8-K,AIG
5272,20050106,8-K,AIG
5272,20040929,8-K,AIG
5272,20040921,8-K,AIG
5272,20060920,8-K,AIG
5272,20060202,8-K,AIG
5272,20100517,8-K,AIG
5272,20041124,8-K,AIG
5272,20110302,8-K,AIG
5272,20111024,8-K,AIG
5272,20100401,8-K,AIG
5272,20070313,8-K,AIG
5272,20100226,8-K,AIG
5272,20061113,8-K,AIG
5272,20120223,8-K,AIG
5272,20120308,8-K,AIG
5272,20121123,8-K,AIG
5272,20090629,8-K,AIG
5272,20120914,8-K,AIG
5272,20090313,10-K/A,AIG
5272,20090302,10-K,AIG
5272,20121101,8-K,AIG
5272,20120621,8-K,AIG
5272,20090212,8-K,AIG
5272,20120907,8-K,AIG
5272,20101018,8-K,AIG
5272,20120802,8-K,AIG
5272,20081113,8-K,AIG
5272,20080926,8-K,AIG
5272,20081110,8-K,AIG
5272,20081016,8-K,AIG
5272,20080923,8-K,AIG
5272,20081202,8-K,AIG
5272,20100603,8-K,AIG
5272,20080924,8-K,AIG
5272,20081126,8-K,AIG
5272,20080718,8-K,AIG
5272,20101004,8-K,AIG
5272,20080722,8-K,AIG
5272,20050214,8-K,AIG
5272,20101008,8-K,AIG
5272,20090325,8-K,AIG
5272,20080508,8-K,AIG
5272,20121210,8-K,AIG
5272,20080229,8-K,AIG
5272,20130503,8-K,AIG
5272,20130404,8-K,AIG
5272,20140926,8-K,AIG
5272,20130531,8-K,AIG
5272,20071218,8-K,AIG
5272,20130809,8-K,AIG
5272,20140619,8-K,AIG
5272,20140610,8-K,AIG
5272,20140220,10-K,AIG
5272,20140213,8-K,AIG
5272,20140512,8-K,AIG
5272,20140108,8-K,AIG
5272,20071115,8-K,AIG
5272,20140213,8-K,AIG
5272,20140213,8-K,AIG
5272,20071107,8-K,AIG
5272,20131113,8-K,AIG
5272,20131031,8-K,AIG
5272,20140626,8-K,AIG
5272,20140612,8-K,AIG
5272,20140505,8-K,AIG
5272,20130801,8-K,AIG
5272,20140804,8-K,AIG
5272,20140606,8-K,AIG
5272,20140701,8-K,AIG
5272,20140714,8-K,AIG
5272,20140321,8-K,AIG
5272,20130709,8-K,AIG
5272,20140808,8-K,AIG
5272,20130605,8-K,AIG
5272,20130513,8-K,AIG
5272,20130502,8-K,AIG
5272,20130319,8-K,AIG
5272,20130308,8-K,AIG
5272,20130327,8-K,AIG
5272,20130124,8-K,AIG
5272,20080508,8-K,AIG
5272,20080512,8-K,AIG
5272,20080701,8-K,AIG
5272,20121130,8-K,AIG
5272,20070301,8-K,AIG
5272,20121005,8-K,AIG
5272,20120711,8-K,AIG
5272,20080926,8-K,AIG
5272,20070119,8-K,AIG
5272,20101028,8-K,AIG
5272,20080918,8-K,AIG
5272,20040211,8-K,AIG
5272,20120823,8-K,AIG
5272,20131031,8-K,AIG
5272,20120629,8-K,AIG
5272,20080806,8-K,AIG
5272,20070301,10-K,AIG
5272,20090420,8-K,AIG
5272,20081003,8-K,AIG
5272,20070301,8-K,AIG
5272,20070607,8-K,AIG
5272,20121212,8-K,AIG
5272,20140902,8-K,AIG
5272,20060810,8-K,AIG
5272,20130617,8-K,AIG
5272,20080520,8-K,AIG
5272,20070522,8-K,AIG
5272,20050921,8-K,AIG
5272,20110331,10-K/A,AIG
5272,20050317,8-K,AIG
5272,20050330,8-K,AIG
5272,20100806,8-K,AIG
5272,20130605,8-K,AIG
5272,20050531,10-K,AIG
5272,20100802,8-K,AIG
5272,20100806,8-K,AIG
5272,20051122,8-K,AIG
5272,20050926,8-K,AIG
5272,20051021,8-K,AIG
5272,20101208,8-K,AIG
5272,20070510,8-K,AIG
5272,20081030,8-K,AIG
5272,20110224,8-K,AIG
5272,20051109,8-K,AIG
5272,20080317,8-K,AIG
5272,20050516,8-K,AIG
5272,20150115,8-K,AIG
5272,20090521,8-K,AIG
5272,20110524,8-K,AIG
5272,20110420,8-K,AIG
5272,20130221,10-K,AIG
5272,20130221,8-K,AIG
5272,20090814,8-K,AIG
5272,20050624,8-K,AIG
5272,20100811,8-K,AIG
5272,20100715,8-K,AIG
5272,20050202,8-K,AIG
5272,20090831,8-K,AIG
5272,20100513,8-K,AIG
5272,20130109,8-K,AIG
5272,20060511,8-K,AIG
5272,20070316,8-K,AIG
5272,20100412,8-K,AIG
5272,20100408,8-K,AIG
5272,20041207,8-K,AIG
5272,20100205,8-K,AIG
5272,20100125,8-K,AIG
5272,20080516,8-K,AIG
5272,20091015,8-K,AIG
5272,20120313,8-K,AIG
5272,20090804,8-K,AIG
5272,20091201,8-K,AIG
5272,20090625,8-K,AIG
5272,20090507,8-K,AIG
5272,20101104,8-K,AIG
5272,20110913,8-K,AIG
5272,20050610,8-K,AIG
5272,20080523,8-K,AIG
5272,20090107,8-K,AIG
5272,20040422,8-K,AIG
5272,20090123,8-K,AIG
5272,20090305,8-K,AIG
5272,20120524,8-K,AIG
5272,20110713,8-K,AIG
5272,20120503,8-K,AIG
5272,20120510,8-K,AIG
5272,20120330,10-K/A,AIG
5272,20061018,8-K,AIG
5272,20041123,8-K,AIG
5272,20090420,8-K,AIG
5272,20100402,8-K,AIG
5272,20041130,8-K,AIG
5272,20041004,8-K,AIG
5272,20120410,8-K,AIG
5272,20100311,8-K,AIG
5272,20111109,8-K,AIG
5272,20111107,8-K,AIG
5272,20091125,8-K,AIG
5272,20040722,8-K,AIG
5272,20060721,8-K,AIG
5272,20120516,8-K,AIG
5272,20100331,10-K/A,AIG
5272,20100514,8-K,AIG
5272,20110303,8-K,AIG
5272,20101124,8-K,AIG
5272,20091231,8-K,AIG
5272,20060619,10-K/A,AIG
5272,20120313,8-K,AIG
5272,20100517,8-K,AIG
5272,20090807,8-K,AIG
5272,20110209,8-K,AIG
5272,20050531,8-K,AIG
5272,20060522,8-K,AIG
5272,20100226,10-K,AIG
5272,20050315,8-K,AIG
5272,20050330,8-K,AIG
5272,20100208,8-K,AIG
5272,20090331,8-K,AIG
5272,20050422,8-K,AIG
5272,20100716,8-K,AIG
5272,20120322,8-K,AIG
5272,20060316,10-K,AIG
5272,20120504,8-K,AIG
5272,20050404,8-K,AIG
5272,20111104,8-K,AIG
5272,20120111,8-K,AIG
5272,20060316,8-K,AIG
5272,20120322,8-K,AIG
5272,20090123,8-K,AIG
5272,20120510,8-K,AIG
5272,20090302,8-K,AIG
5272,20081224,8-K,AIG
5272,20081230,8-K,AIG
5272,20081215,8-K,AIG
5272,20110804,8-K,AIG
5272,20050721,8-K,AIG
5272,20121214,8-K,AIG
5272,20121217,8-K,AIG
5272,20040315,10-K,AIG
5272,20120906,8-K,AIG
5272,20091125,8-K,AIG
5272,20091106,8-K,AIG
5272,20050620,8-K,AIG
5272,20091023,8-K,AIG
5272,20080616,8-K,AIG
5272,20120223,10-K,AIG
5272,20120306,8-K,AIG
5272,20090420,8-K,AIG
5272,20130219,8-K,AIG
5272,20130301,8-K,AIG
5272,20130313,8-K,AIG
5272,20150128,8-K,AIG
5272,20081126,8-K,AIG
5272,20090430,10-K/A,AIG
5272,20130515,8-K,AIG
5272,20141103,8-K,AIG
5272,20110527,8-K,AIG
5272,20140716,8-K,AIG
5272,20140514,8-K,AIG
5272,20140918,8-K,AIG
5272,20130918,8-K,AIG
5272,20140404,8-K,AIG
5272,20140716,8-K,AIG
5272,20060113,8-K,AIG
5272,20140303,8-K,AIG
5272,20110224,10-K,AIG
5272,20140514,8-K,AIG
5272,20131218,8-K,AIG
5272,20131002,8-K,AIG
5272,20070808,8-K,AIG
5272,20131216,8-K,AIG
5272,20111013,8-K,AIG
5272,20100507,8-K,AIG
5272,20100824,10-K/A,AIG
5272,20100927,8-K,AIG
5272,20041021,8-K,AIG
5272,20041021,8-K,AIG
5272,20100305,8-K,AIG
5272,20051206,8-K,AIG
5272,20130826,8-K,AIG
5272,20060209,8-K,AIG
5272,20110114,8-K,AIG
5272,20110506,8-K,AIG
5272,20110401,8-K,AIG
5272,20110512,8-K,AIG
5272,20130814,8-K,AIG
5272,20071207,8-K,AIG
5272,20060109,8-K,AIG
5272,20060119,8-K,AIG
5272,20130813,8-K,AIG
5272,20130809,8-K,AIG
5272,20110124,8-K,AIG
5272,20130801,8-K,AIG
5272,20110310,8-K,AIG
5272,20080117,8-K,AIG
5272,20051220,8-K,AIG
5272,20110331,8-K,AIG
5272,20141117,8-K,AIG
5272,20110112,8-K,AIG
5272,20080211,8-K,AIG
5272,20081118,8-K,AIG
5272,20110107,8-K,AIG
5272,20141015,8-K,AIG
5272,20101227,8-K,AIG
5272,20080228,10-K,AIG
5272,20120808,8-K,AIG
5272,20120820,8-K,AIG
5272,20081103,8-K,AIG
5272,20050810,8-K,AIG
5272,20080221,8-K,AIG
5272,20081020,8-K,AIG
5272,20080717,8-K,AIG
5272,20081009,8-K,AIG
5272,20081003,8-K,AIG
5272,20080522,8-K,AIG
5513,20141212,8-K,UNM
5513,20141029,8-K,UNM
5513,20140520,8-K,UNM
5513,20131231,8-K,UNM
5513,20130805,8-K,UNM
5513,20130618,8-K,UNM
5513,20130523,8-K,UNM
5513,20121031,8-K,UNM
5513,20120525,8-K,UNM
5513,20120417,8-K,UNM
5513,20141216,8-K,UNM
5513,20140507,8-K,UNM
5513,20111006,8-K,UNM
5513,20140226,10-K,UNM
5513,20140204,8-K,UNM
5513,20110802,8-K,UNM
5513,20110706,8-K,UNM
5513,20130501,8-K,UNM
5513,20110503,8-K,UNM
5513,20110413,8-K,UNM
5513,20110225,10-K,UNM
5513,20120501,8-K,UNM
5513,20110204,8-K,UNM
5513,20120224,10-K,UNM
5513,20101102,8-K,UNM
5513,20100915,8-K,UNM
5513,20100524,8-K,UNM
5513,20100504,8-K,UNM
5513,20110202,8-K,UNM
