BEST_EDGAR_TICKER,AUDITOR_FKEY,AUDITOR_NAME,SIG_DATE_OF_OP_X,GOING_CONCERN,FISCAL_YEAR_OF_OP,FISCAL_YEAR_END_OP,OP_AUD_PCAOB,FTP_FILE_FKEY,FILE_DATE,FILE_SIZE
MNKD,3,Deloitte & Touche LLP,20060315,0,2005,31DEC2005,1,edgar/data/899460/0000950148-06-000014.txt,2006-03-16,1 MB
MNKD,3,Deloitte & Touche LLP,20050311,0,2004,31DEC2004,1,edgar/data/899460/0000950129-05-002522.txt,2005-03-16,969 KB
MNKD,3,Deloitte & Touche LLP,20040429,0,2003,31DEC2003,1,edgar/data/899460/0000950148-04-000827.txt,2004-04-30,2 MB
MRGE,11761,BDO USA LLP,20140314,0,2013,31DEC2013,1,edgar/data/944765/0001140361-14-012788.txt,2014-03-14,16 MB
MRGE,11761,BDO USA LLP,20130311,0,2012,31DEC2012,1,edgar/data/944765/0001140361-13-011645.txt,2013-03-11,21 MB
MRGE,11761,BDO USA LLP,20120227,0,2011,31DEC2011,1,edgar/data/944765/0001140361-12-011329.txt,2012-02-28,12 MB
MRGE,11761,BDO USA LLP,20110315,0,2010,31DEC2010,1,edgar/data/944765/0001140361-11-016953.txt,2011-03-16,5 MB
MRGE,7,BDO Seidman LLP,20100312,0,2009,31DEC2009,1,edgar/data/944765/0001140361-10-011648.txt,2010-03-12,2 MB
MRGE,7,BDO Seidman LLP,20090311,0,2008,31DEC2008,1,edgar/data/944765/0000944765-09-000015.txt,2009-03-11,3 MB
MRGE,4,KPMG LLP,20080331,1,2007,31DEC2007,1,edgar/data/944765/0000950144-08-002522.txt,2008-04-01,838 KB
MRGE,11761,BDO USA LLP,20150227,0,2014,31DEC2014,1,edgar/data/944765/0001140361-15-009411.txt,2015-02-27,15 MB
MRGE,4,KPMG LLP,20070308,0,2006,31DEC2006,1,edgar/data/944765/0001104659-07-017399.txt,2007-03-08,2 MB
MRGE,4,KPMG LLP,20060829,0,2005,31DEC2005,1,edgar/data/944765/0001104659-06-058108.txt,2006-08-30,4 MB
MRGE,4,KPMG LLP,20050304,0,2004,31DEC2004,1,edgar/data/944765/0001047469-05-005571.txt,2005-03-07,629 KB
MRGE,4,KPMG LLP,20040218,0,2003,31DEC2003,1,edgar/data/944765/0000944765-04-000010.txt,2004-03-15,528 KB
MRGE,4,KPMG LLP,20030328,0,2002,31DEC2002,1,edgar/data/944765/0000944765-03-000018.txt,2003-03-31,239 KB
