Model,ticker,evtdate,cret,car,bhar,nrets
Fama-French Plus Momentum,JAH,20JAN2009,-0.119831231,0.4297381268,0.3303535994,16
Fama-French Plus Momentum,SCON,22MAR2005,-0.326013695,-0.289035547,-0.242913593,16
Fama-French Plus Momentum,SGY,11JAN2010,-0.139756457,0.041239988,0.0304093849,16
Fama-French Plus Momentum,CASH,05JAN2012,0.0390025357,-0.031682627,-0.041091286,16
Fama-French Plus Momentum,DYII,18OCT2006,-0.184210513,-0.9855726,-1.38089104,16
Fama-French Plus Momentum,ZLC,29FEB2008,0.1908396379,0.2233517511,0.2271289357,16
Fama-French Plus Momentum,OMG,24JUN2005,-0.077647043,-0.202910594,-0.21174839,16
Fama-French Plus Momentum,MATK,14DEC2007,0.1763534271,0.188498475,0.1818348386,16
Fama-French Plus Momentum,MED,14JUL2005,1.0392156805,0.8324069673,1.0807522627,16
Fama-French Plus Momentum,VRTS,18FEB2005,-0.030762921,0.0637973503,0.0588642581,16
Fama-French Plus Momentum,BZH,05MAY2009,0.3295454148,-0.064434949,-0.201737569,16
Fama-French Plus Momentum,ARTX,07JAN2010,0.1910827721,0.4606312044,0.4378978719,16
Fama-French Plus Momentum,SNIC,12OCT2009,0.0489038793,-0.256123035,-0.319794306,16
Fama-French Plus Momentum,CBR,26NOV2013,0.1390531841,0.0934823409,0.0999836036,16
Fama-French Plus Momentum,IBIS,25JAN2007,-0.006756752,0.3439195632,0.2860304823,16
Fama-French Plus Momentum,JOSB,09FEB2010,0.0510689235,0.002598424,0.0008857674,16
Fama-French Plus Momentum,NPSP,26FEB2009,-0.408517362,-0.321661179,-0.236223053,16
Fama-French Plus Momentum,PSSI,19OCT2005,0.0925490415,0.107100872,0.107867015,16
Fama-French Plus Momentum,MCK,11FEB2005,0.051505824,0.0577147884,0.0583829308,16
Fama-French Plus Momentum,UHAL,24JUL2006,-0.103308639,-0.200428764,-0.19930484,16
Fama-French Plus Momentum,VECO,16AUG2007,-0.017647013,0.0338084787,0.0341383295,16
Fama-French Plus Momentum,SWC,02MAY2007,-0.167346941,-0.140965102,-0.135782801,16
Fama-French Plus Momentum,RCII,30OCT2007,-0.111904716,0.0427819387,0.0360472716,16
Fama-French Plus Momentum,BRKS,24JUN2008,-0.128177978,0.1911462729,0.1518822432,16
Fama-French Plus Momentum,HLIT,07FEB2007,0.0056370022,-0.126584518,-0.13611534,16
Fama-French Plus Momentum,ADEX,10JUL2006,-0.013283856,-0.061870594,-0.061147689,16
Fama-French Plus Momentum,ESST,30APR2007,-0.071942464,0.058166312,0.0480152324,16
Fama-French Plus Momentum,NWPX,24SEP2012,-0.069439139,-0.045027375,-0.045314623,16
Fama-French Plus Momentum,HIG,28AUG2009,0.2973950749,0.0385620572,0.038394164,16
Fama-French Plus Momentum,STKR,21AUG2007,0.0833332567,-0.058496744,-0.070236114,16
Fama-French Plus Momentum,ARTC,09FEB2012,-0.191413827,-0.204233478,-0.205587181,16
Fama-French Plus Momentum,PRGX,08FEB2005,-0.121042852,-0.033888356,-0.033595497,16
Fama-French Plus Momentum,KVHI,27JUL2007,-0.011446374,0.0410909131,0.0369862517,16
Fama-French Plus Momentum,NDN,20SEP2006,0.0308098925,0.0018625181,-0.003340648,16
Fama-French Plus Momentum,JAKK,17NOV2009,0.0255102217,0.0100870484,0.0084843484,16
Fama-French Plus Momentum,SRZ,27FEB2009,-0.476190474,-0.006888704,-0.103047554,16
Fama-French Plus Momentum,ZOMX,25APR2005,-0.067729116,0.1968302491,0.1606231652,16
Fama-French Plus Momentum,ADRX,10JUN2005,0.031077639,0.0683448526,0.0666671548,16
Fama-French Plus Momentum,RNR,13APR2007,0.0850597697,0.0688867177,0.0717204217,16
Fama-French Plus Momentum,HEB,09NOV2010,0.0142967094,0.0231157177,0.022210433,16
Fama-French Plus Momentum,ANF,03NOV2006,-0.076794845,-0.162873646,-0.166737448,16
Fama-French Plus Momentum,ANF,22JUN2010,-0.134149728,0.001418391,-0.000444837,16
Fama-French Plus Momentum,CRN,26AUG2005,0.0228245143,0.0354444556,0.034985444,16
Fama-French Plus Momentum,CERS,08SEP2006,-0.011784545,0.0612981491,0.0559240332,16
Fama-French Plus Momentum,CTIC,14FEB2012,0.1714286433,0.1930184772,0.1798322192,16
Fama-French Plus Momentum,CBI,22JAN2008,-0.14109187,-0.091927411,-0.09618793,16
Fama-French Plus Momentum,MEAD,15OCT2007,-0.238805977,-0.208294408,-0.195989331,16
Fama-French Plus Momentum,AMZN,10MAR2005,-0.057703205,0.0456473905,0.0421543329,16
Fama-French Plus Momentum,RMBS,04MAR2008,-0.007825571,0.0202180436,0.0186027849,16
Fama-French Plus Momentum,SRT,03SEP2009,-0.065555575,-0.129057673,-0.145838936,16
Fama-French Plus Momentum,FARO,02JUN2008,-0.045598074,-0.125880796,-0.130039911,16
Fama-French Plus Momentum,PLCE,17JUL2009,0.1500790329,0.1922024287,0.1950651221,16
Fama-French Plus Momentum,PSMT,17MAY2005,0.0377073895,0.1124139883,0.1071847226,16
Fama-French Plus Momentum,AMCC,17MAR2005,-0.123626387,-0.098396596,-0.092406654,16
Fama-French Plus Momentum,URI,28JAN2009,-0.133535669,-0.077394085,-0.05879241,16
Fama-French Plus Momentum,CVTX,08DEC2006,0.1629881246,0.1701730116,0.1774251846,16
Fama-French Plus Momentum,CECO,04NOV2013,0.2404371028,0.2971889541,0.1705886628,16
Fama-French Plus Momentum,CECO,05NOV2007,-0.084448411,-0.119954115,-0.122013539,16
Fama-French Plus Momentum,RAS,15JUL2009,-0.049586825,-0.147411298,-0.165500881,16
Fama-French Plus Momentum,BXS,01JUN2012,-0.012084598,-0.034486024,-0.034633508,16
Fama-French Plus Momentum,GNSS,14JUN2006,-0.07692306,0.1671189901,0.139689092,16
Fama-French Plus Momentum,MUSE,24JUN2005,-0.042158519,-0.060648776,-0.061864171,16
Fama-French Plus Momentum,PMACA,14AUG2007,0.0239334522,0.1017176668,0.0802304947,16
Fama-French Plus Momentum,CAO,16APR2008,0.0127986007,-0.022705554,-0.022595799,16
Fama-French Plus Momentum,ADPI,15DEC2009,0.0935719779,0.0887764511,0.090478817,16
Fama-French Plus Momentum,BRCM,27JUN2005,0.0623412977,0.0233081773,0.0235867306,16
Fama-French Plus Momentum,BRCM,30APR2010,-0.043795554,0.0476090707,0.0469429815,16
